Name,Age,Gender,Address,Loan Access,CRM/ATM Access,Mobile Banking Access,Profession,Disability
Abigail Melaku,51,Female,"Kebele 4, Woreda 5, Adama",Conventional Loan,No,Yes,Student,Yes
Milki Endale,26,Female,"Kebele 24, Woreda 2, Jijiga",Kiya,No,Yes,Merchant,No
Selam Ermias,61,Female,"Kebele 27, Woreda 8, Jijiga",Michu,No,No,Merchant,Yes
Wolde Selamawit,59,Male,"Kebele 15, Woreda 1, Hosaena",Conventional Loan,Yes,No,Farmer,No
Mihret Desalegn,24,Female,"Kebele 3, Woreda 1, Nekemte",Michu,Yes,Yes,Employed,No
Mengistu Daniel,23,Male,"Kebele 28, Woreda 8, Adama",Michu,Yes,Yes,Merchant,Yes
Magi Yohannes,47,Female,"Kebele 3, Woreda 3, Bahir Dar",Michu,Yes,No,Employed,Yes
Negusu Zewdu,39,Male,"Kebele 11, Woreda 9, Nekemte",Conventional Loan,Yes,No,Teacher,No
Andargachew Gebeyehu,21,Male,"Kebele 29, Woreda 8, Debre Markos",Conventional Loan,No,Yes,Farmer,No
Getnet Henok,36,Male,"Kebele 1, Woreda 6, Sodo",Conventional Loan,Yes,Yes,Health Worker,No
Almaz Adamu,63,Female,"Kebele 14, Woreda 5, Jimma",Kiya,No,Yes,Health Worker,No
Lomi Misgana,20,Female,"Kebele 9, Woreda 8, Bahir Dar",Michu,No,No,Health Worker,No
Eyob Tesfu,21,Male,"Kebele 16, Woreda 6, Shashemene",Michu,Yes,Yes,Student,No
Misrak Geremew,53,Female,"Kebele 6, Woreda 6, Gondar",Michu,No,No,Student,No
Misgana Melaku,30,Male,"Kebele 24, Woreda 2, Dessie",Conventional Loan,Yes,Yes,Health Worker,Yes
Milki Melaku,62,Female,"Kebele 5, Woreda 3, Harar",Conventional Loan,Yes,Yes,Teacher,Yes
Tadese Zegeye,39,Male,"Kebele 23, Woreda 5, Adama",Conventional Loan,No,No,Merchant,Yes
Kibrom Melaku,59,Male,"Kebele 9, Woreda 4, Nekemte",Michu,No,Yes,Student,No
Andargachew Endale,20,Male,"Kebele 19, Woreda 8, Gambela",Michu,Yes,No,Teacher,Yes
Tebarek Zerihun,47,Female,"Kebele 3, Woreda 4, Arba Minch",Kiya,Yes,No,Farmer,No
Adel Gebru,61,Female,"Kebele 24, Woreda 5, Asosa",Kiya,Yes,No,Farmer,No
Lensa Zerihun,29,Female,"Kebele 14, Woreda 5, Debre Berhan",Michu,Yes,No,Farmer,Yes
Desta Tadesse,60,Male,"Kebele 11, Woreda 10, Harar",Conventional Loan,No,Yes,Health Worker,Yes
Wube Nigussie,68,Male,"Kebele 4, Woreda 6, Dilla",Conventional Loan,Yes,No,Health Worker,No
Tariku Daniel,38,Male,"Kebele 29, Woreda 2, Gondar",Michu,Yes,No,Teacher,No
Geremew Biruk,59,Male,"Kebele 8, Woreda 4, Jijiga",Michu,Yes,No,Student,Yes
Habtamu Negusu,62,Male,"Kebele 30, Woreda 4, Jijiga",Conventional Loan,No,No,Merchant,Yes
Gelila Teshome,50,Female,"Kebele 4, Woreda 3, Jimma",Kiya,No,Yes,Employed,Yes
Mekonnen Kibrom,40,Male,"Kebele 26, Woreda 5, Shashemene",Michu,No,Yes,Teacher,Yes
Lulit Muluken,70,Female,"Kebele 21, Woreda 5, Jijiga",Michu,Yes,Yes,Teacher,No
Negusu Chalachew,41,Male,"Kebele 25, Woreda 6, Harar",Michu,Yes,Yes,Health Worker,Yes
Muluken Birhanu,67,Male,"Kebele 8, Woreda 7, Jimma",Conventional Loan,Yes,No,Teacher,No
Sifan Zegeye,35,Female,"Kebele 25, Woreda 8, Dire Dawa",Kiya,Yes,No,Health Worker,Yes
Desta Teshome,44,Male,"Kebele 28, Woreda 10, Shashemene",Conventional Loan,Yes,Yes,Teacher,Yes
Hiwot Kebede,25,Female,"Kebele 3, Woreda 5, Sodo",Kiya,Yes,Yes,Farmer,No
Mulugeta Zerihun,50,Male,"Kebele 26, Woreda 6, Harar",Conventional Loan,Yes,Yes,Health Worker,Yes
Samuel Birhanu,29,Male,"Kebele 23, Woreda 7, Gambela",Michu,No,Yes,Merchant,No
Yordanos Abebe,46,Female,"Kebele 10, Woreda 10, Dilla",Kiya,No,No,Employed,Yes
Zebene Adamu,63,Female,"Kebele 29, Woreda 9, Jijiga",Conventional Loan,Yes,Yes,Employed,Yes
Worku Binyam,58,Male,"Kebele 27, Woreda 7, Adama",Michu,No,No,Health Worker,No
Leul Gebeyehu,30,Male,"Kebele 14, Woreda 3, Jimma",Michu,No,No,Merchant,Yes
Ayantu Amare,38,Female,"Kebele 9, Woreda 7, Adama",Conventional Loan,Yes,Yes,Teacher,No
Negusu Hailu,51,Male,"Kebele 5, Woreda 4, Jimma",Conventional Loan,Yes,No,Health Worker,No
Dawit Daniel,68,Female,"Kebele 28, Woreda 5, Gambela",Michu,No,Yes,Farmer,No
Yodit Melaku,33,Female,"Kebele 24, Woreda 8, Jijiga",Conventional Loan,Yes,Yes,Teacher,No
Gebru Selamawit,31,Male,"Kebele 11, Woreda 7, Jijiga",Michu,No,Yes,Farmer,Yes
Fekadu Birhanu,46,Male,"Kebele 28, Woreda 2, Hosaena",Conventional Loan,No,No,Student,Yes
Tigist Gebru,52,Female,"Kebele 3, Woreda 7, Shashemene",Michu,No,No,Teacher,No
Adamu Getnet,66,Male,"Kebele 17, Woreda 1, Dire Dawa",Michu,No,No,Employed,No
Demelash Desalegn,55,Male,"Kebele 11, Woreda 1, Bahir Dar",Michu,Yes,Yes,Employed,No
Lensa Birhanu,65,Female,"Kebele 16, Woreda 6, Dilla",Kiya,Yes,Yes,Merchant,No
Amel Yonas,29,Female,"Kebele 2, Woreda 6, Dilla",Michu,Yes,No,Teacher,Yes
Samuel Mekonnen,28,Male,"Kebele 5, Woreda 7, Dilla",Conventional Loan,No,Yes,Student,No
Sisay Tsegaye,21,Male,"Kebele 19, Woreda 8, Dire Dawa",Michu,No,Yes,Merchant,No
Selamawit Nigussie,33,Female,"Kebele 2, Woreda 3, Gambela",Michu,Yes,Yes,Employed,No
Endale Negusu,63,Male,"Kebele 25, Woreda 7, Dilla",Conventional Loan,No,Yes,Teacher,No
Tigist Muluken,51,Female,"Kebele 26, Woreda 4, Dessie",Kiya,No,Yes,Health Worker,No
Zemzem Merid,29,Female,"Kebele 19, Woreda 4, Dilla",Michu,No,No,Employed,No
Abraham Haile,47,Male,"Kebele 8, Woreda 2, Harar",Conventional Loan,Yes,No,Student,No
Adel Demeke,50,Female,"Kebele 18, Woreda 6, Gambela",Conventional Loan,No,Yes,Employed,Yes
Sara Misgana,35,Female,"Kebele 21, Woreda 3, Sodo",Michu,No,Yes,Farmer,Yes
Sifan Tesfaye,40,Female,"Kebele 7, Woreda 6, Shashemene",Conventional Loan,Yes,No,Farmer,Yes
Zerihun Kibrom,20,Male,"Kebele 25, Woreda 8, Dire Dawa",Conventional Loan,No,Yes,Student,Yes
Tena Yemane,68,Female,"Kebele 28, Woreda 7, Nekemte",Michu,Yes,No,Employed,Yes
Berhanu Girma,24,Male,"Kebele 10, Woreda 9, Gambela",Michu,No,No,Employed,Yes
Henok Hussen,44,Male,"Kebele 26, Woreda 10, Hosaena",Conventional Loan,Yes,Yes,Teacher,Yes
Gizachew Zegeye,56,Male,"Kebele 10, Woreda 6, Jimma",Michu,No,No,Student,Yes
Hussen Gebru,70,Male,"Kebele 12, Woreda 5, Shashemene",Michu,No,No,Farmer,Yes
Biruk Yohannes,41,Male,"Kebele 24, Woreda 4, Shashemene",Conventional Loan,Yes,Yes,Health Worker,Yes
Tsegaye Melaku,48,Male,"Kebele 3, Woreda 9, Sodo",Michu,Yes,Yes,Merchant,Yes
Tebarek Zewdu,19,Female,"Kebele 24, Woreda 4, Dessie",Conventional Loan,Yes,No,Farmer,Yes
Bethelhem Wondimu,35,Female,"Kebele 18, Woreda 9, Asosa",Kiya,No,No,Employed,Yes
Fekadu Biruk,54,Male,"Kebele 26, Woreda 8, Dilla",Michu,No,Yes,Teacher,Yes
Tamirat Adamu,20,Male,"Kebele 19, Woreda 1, Shashemene",Michu,Yes,Yes,Teacher,No
Abebe Yemane,19,Male,"Kebele 13, Woreda 6, Gondar",Conventional Loan,Yes,No,Teacher,Yes
Nardos Fekadu,26,Female,"Kebele 15, Woreda 5, Harar",Kiya,Yes,Yes,Employed,No
Kidist Merid,32,Female,"Kebele 11, Woreda 8, Dire Dawa",Conventional Loan,Yes,No,Employed,No
Nebiyu Kebede,34,Male,"Kebele 27, Woreda 5, Hawassa",Conventional Loan,Yes,Yes,Merchant,Yes
Gebru Redae,42,Male,"Kebele 15, Woreda 8, Gambela",Conventional Loan,Yes,Yes,Merchant,No
Rahel Yohannes,36,Female,"Kebele 11, Woreda 9, Gondar",Conventional Loan,Yes,No,Teacher,No
Nardos Kassaye,29,Female,"Kebele 13, Woreda 10, Bahir Dar",Conventional Loan,No,Yes,Student,No
Samuel Moges,47,Male,"Kebele 25, Woreda 7, Bahir Dar",Michu,No,No,Farmer,Yes
Mahlet Nigussie,21,Female,"Kebele 6, Woreda 10, Debre Berhan",Kiya,Yes,Yes,Teacher,No
Tsegaye Kidane,44,Male,"Kebele 27, Woreda 5, Dilla",Michu,Yes,Yes,Farmer,No
Desalegn Redae,39,Male,"Kebele 9, Woreda 4, Gondar",Michu,Yes,No,Student,No
Yodit Nega,69,Female,"Kebele 21, Woreda 4, Hosaena",Conventional Loan,Yes,No,Teacher,No
Meron Zegeye,62,Female,"Kebele 15, Woreda 9, Asosa",Kiya,Yes,No,Merchant,Yes
Dagnachew Demeke,34,Male,"Kebele 15, Woreda 6, Gondar",Michu,Yes,No,Merchant,No
Nardos Mulugeta,58,Female,"Kebele 15, Woreda 2, Adama",Conventional Loan,No,Yes,Teacher,Yes
Meaza Mekonnen,69,Female,"Kebele 8, Woreda 1, Sodo",Kiya,No,Yes,Student,No
Wubit Melaku,34,Female,"Kebele 13, Woreda 10, Debre Berhan",Conventional Loan,Yes,Yes,Teacher,No
Mamo Binyam,33,Male,"Kebele 3, Woreda 7, Debre Markos",Conventional Loan,Yes,No,Farmer,Yes
Yewbdar Tilahun,23,Female,"Kebele 5, Woreda 2, Shashemene",Conventional Loan,Yes,No,Teacher,Yes
Gizachew Amare,22,Male,"Kebele 26, Woreda 6, Harar",Conventional Loan,No,No,Employed,Yes
Gennet Kibrom,49,Female,"Kebele 11, Woreda 3, Gambela",Conventional Loan,Yes,No,Health Worker,Yes
Mesfin Tesfaye,45,Male,"Kebele 22, Woreda 10, Dessie",Conventional Loan,No,Yes,Teacher,Yes
Endale Desalegn,51,Male,"Kebele 26, Woreda 4, Sodo",Michu,Yes,No,Student,Yes
Melaku Henok,35,Male,"Kebele 18, Woreda 7, Mekelle",Conventional Loan,Yes,No,Teacher,Yes
Luwam Getachew,21,Female,"Kebele 19, Woreda 1, Jijiga",Conventional Loan,No,Yes,Teacher,No
Tariku Zewdu,32,Male,"Kebele 23, Woreda 5, Adama",Michu,No,No,Health Worker,Yes
Bethelhem Tamirat,69,Female,"Kebele 6, Woreda 9, Gondar",Michu,Yes,Yes,Teacher,No
Assefu Yonas,49,Female,"Kebele 14, Woreda 5, Debre Berhan",Kiya,No,No,Student,Yes
Mesfin Moges,19,Male,"Kebele 15, Woreda 1, Gambela",Conventional Loan,Yes,No,Health Worker,Yes
Mamo Kassahun,62,Male,"Kebele 5, Woreda 3, Dessie",Conventional Loan,Yes,No,Health Worker,Yes
Lensa Bekele,22,Female,"Kebele 27, Woreda 1, Shashemene",Michu,No,No,Employed,No
Zerihun Tesfaye,67,Male,"Kebele 7, Woreda 2, Debre Berhan",Conventional Loan,No,No,Merchant,Yes
Kidist Kidane,64,Female,"Kebele 22, Woreda 10, Gondar",Kiya,Yes,No,Employed,Yes
Mamo Mesfin,65,Male,"Kebele 13, Woreda 7, Hosaena",Conventional Loan,No,Yes,Health Worker,Yes
Redae Kassaye,28,Male,"Kebele 15, Woreda 9, Arba Minch",Conventional Loan,No,No,Farmer,Yes
Hawi Dawit,33,Female,"Kebele 8, Woreda 3, Debre Markos",Michu,Yes,No,Teacher,No
Misrak Endale,19,Female,"Kebele 11, Woreda 4, Dilla",Michu,Yes,Yes,Student,Yes
Lensa Zewdu,40,Female,"Kebele 26, Woreda 5, Bahir Dar",Kiya,No,Yes,Health Worker,Yes
Lensa Desta,46,Female,"Kebele 30, Woreda 4, Shashemene",Michu,No,Yes,Health Worker,No
Luwam Dagnachew,29,Female,"Kebele 23, Woreda 4, Debre Markos",Michu,Yes,Yes,Farmer,No
Solomon Geremew,65,Male,"Kebele 14, Woreda 8, Hosaena",Conventional Loan,No,No,Employed,Yes
Ayenalem Abraham,31,Female,"Kebele 29, Woreda 3, Nekemte",Michu,No,No,Teacher,No
Amare Tariku,43,Male,"Kebele 2, Woreda 6, Nekemte",Conventional Loan,No,No,Student,Yes
Zewditu Selamawit,52,Female,"Kebele 10, Woreda 3, Adama",Kiya,Yes,Yes,Farmer,Yes
