Name,Withdrawal Amount (ETB),Withdrawal Successful
Abebech Tesfaye,3709.86,Yes
Mihret Tilahun,1478.68,Yes
Getachew Dagnachew,3278.25,Yes
Sara Habtamu,4026.46,Yes
Andargachew Berhanu,4537.39,Yes
Feven Hailu,228.99,Yes
Hussen Mesfin,413.7,No
Kebede Zegeye,5982.87,No
Tesfu Zeleke,2529.45,Yes
Tariku Mesfin,1844.78,Yes
Tigist Tadese,2066.16,Yes
Selam Zegeye,890.34,Yes
Bethelhem Bereket,4777.51,Yes
Yilma Adamu,3970.1,Yes
Milki Yohannes,8759.37,Yes
Hewan Demeke,1759.61,Yes
Eyerusalem Wolde,9436.75,Yes
Mekuria Selamawit,4051.3,Yes
Mekonnen Abiyot,9954.12,Yes
Hiwot Legesse,1276.33,Yes
Yewbdar Bereket,7019.87,No
Kassaye Tariku,3428.42,No
Teshome Mekuria,2401.66,Yes
Senait Moges,9704.67,Yes
Lulit Mekonnen,5699.0,Yes
Gete Mulugeta,1670.75,Yes
Ermias Zerihun,2631.49,Yes
Kibrom Nigussie,7842.45,Yes
Yonas Tadese,1537.12,No
Adel Habtamu,3931.49,Yes
Tigist Hailu,3002.6,No
Tsion Ermias,5019.29,Yes
Hailemariam Mamo,4258.59,Yes
Lulit Getachew,1068.19,No
Rahel Endale,2245.12,Yes
Yohannes Yohannes,7425.79,Yes
Wubit Zeleke,1687.12,No
Mihret Tilahun,1853.49,No
Alem Tariku,1003.64,Yes
Luwam Henok,7833.11,No
Amel Kidane,3466.74,Yes
Sintayehu Tamrat,7858.2,No
Birhanu Moges,2127.64,Yes
Zewditu Wube,6138.16,Yes
Naomi Mitiku,7889.4,Yes
Kebede Wondimu,6182.01,Yes
Nega Berhanu,1284.78,Yes
Yemane Ermias,4750.52,Yes
Mitiku Binyam,757.33,Yes
Tebarek Wube,1369.56,No
Tariku Asnake,1703.01,Yes
Gizachew Zewdu,2395.97,Yes
Nardos Mulugeta,2691.83,Yes
Ruth Abraham,5536.61,No
Zewdu Getahun,2707.33,Yes
Meseret Berhanu,5015.69,Yes
Misrak Ermias,418.05,Yes
Hiwot Yared,6989.87,Yes
Shiferaw Eshetu,2522.55,No
Redae Mesfin,7474.29,No
Hailu Amare,2826.04,Yes
Emebet Berhanu,1658.79,Yes
Adanech Tsegaye,9089.33,Yes
Zerihun Hailu,1001.92,No
Ayenalem Tesfu,7568.74,Yes
Mengistu Samuel,4655.07,No
Tinsae Girma,7672.53,Yes
Hawi Abiyot,9754.03,Yes
Genet Tamirat,1905.21,No
Melaku Tesfu,2310.17,Yes
Tigist Melaku,1819.06,Yes
Alemnesh Tsegaye,7660.45,Yes
Tigist Misgana,690.57,Yes
Wondimu Demeke,2774.69,Yes
Zinash Muluken,5227.66,Yes
Birhanu Mengistu,9693.92,No
Biruk Mulugeta,3894.73,Yes
Dawit Zewdu,9673.18,Yes
Lensa Kibrom,1524.67,Yes
Tigist Melaku,5193.55,Yes
Yonas Bereket,5743.93,Yes
Sossina Desalegn,7887.87,Yes
Dagmawit Legesse,2954.85,Yes
Abebe Worku,5828.01,Yes
Lulit Tesfaye,6091.26,No
Samuel Getahun,3250.68,Yes
Mengistu Yilma,8457.1,Yes
Mitiku Mamo,7795.9,Yes
Yilma Tamirat,8186.0,Yes
Adanech Asnake,2858.26,Yes
Selamawit Mengistu,6262.0,Yes
Ayisha Getahun,326.24,No
Kebede Wondimu,2866.11,Yes
Meron Melaku,8352.53,No
Adanech Yilma,2779.72,Yes
Tinsae Zewdu,7456.21,Yes
Selam Demeke,8098.86,No
Demelash Demelash,2120.55,Yes
Ermias Fekadu,7912.02,Yes
Meseret Chalachew,4876.24,Yes
Sifan Mamo,3743.69,Yes
Teshome Dawit,510.41,Yes
Dawit Wolde,2708.38,No
Zufan Daniel,2494.15,No
Eyerusalem Yohannes,6465.06,Yes
Emebet Redae,4461.75,Yes
Abiyot Tadese,4181.29,Yes
Habtemariam Biruk,5400.55,Yes
Dawit Henok,381.23,Yes
Firehiwot Mekonnen,746.46,Yes
Hiwot Tadese,2686.56,Yes
Mulugeta Desta,8038.61,Yes
Tinsae Demelash,1581.48,Yes
Dagmawit Yared,9806.81,Yes
Mitiku Chalachew,9047.83,No
Dagnachew Abiyot,1286.34,Yes
Zewditu Amare,9890.72,Yes
Geremew Wondimu,2780.23,No
Wolde Amare,6431.43,Yes
Wengel Nebiyu,7063.22,Yes
Adel Dagnachew,4043.82,Yes
Moges Girma,6635.94,No
Desalegn Tesfu,1551.67,Yes
Asnake Kebede,323.23,Yes
Kibrom Habtemariam,4295.59,No
Helina Tamirat,6670.45,No
Mahlet Ermias,9868.66,No
Binyam Kebede,1966.08,No
Zebene Shiferaw,585.45,Yes
Hirut Nigussie,797.7,Yes
Sisay Legesse,7014.02,Yes
Mulugeta Henok,112.12,Yes
Eyob Tamirat,9284.51,Yes
Adamu Hussen,4163.88,Yes
